contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spread,moneyness
AAPL250620C00227500,2025-06-16 19:48:41+00:00,227.5,0.01,0.0,0.0,0.0,0.0,2374.0,0.0,0.2500075,False,REGULAR,USD,call,2025-06-20,0.0,-0.12782418387276787
AAPL250620C00230000,2025-06-16 19:59:38+00:00,230.0,0.02,0.0,0.0,0.0,0.0,2444.0,0.0,0.2500075,False,REGULAR,USD,call,2025-06-20,0.0,-0.1373043557871943
AAPL250620C00232500,2025-06-16 19:59:41+00:00,232.5,0.01,0.0,0.0,0.0,0.0,719.0,0.0,0.2500075,False,REGULAR,USD,call,2025-06-20,0.0,-0.14658065303679435
AAPL250620C00235000,2025-06-16 19:58:10+00:00,235.0,0.01,0.0,0.0,0.0,0.0,859.0,0.0,0.2500075,False,REGULAR,USD,call,2025-06-20,0.0,-0.1556595822598072
AAPL250620C00240000,2025-06-16 19:44:35+00:00,240.0,0.01,0.0,0.0,0.0,0.0,195.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.17325000762939452
AAPL250620C00245000,2025-06-16 18:55:34+00:00,245.0,0.01,0.0,0.0,0.0,0.0,49.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.19012245645328443
AAPL250620C00250000,2025-06-16 17:07:53+00:00,250.0,0.01,0.0,0.0,0.0,0.0,73.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.20632000732421876
AAPL250620C00255000,2025-06-16 19:07:42+00:00,255.0,0.01,0.0,0.0,0.0,0.0,112.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.22188236012178308
AAPL250620C00260000,2025-06-16 19:21:17+00:00,260.0,0.01,0.0,0.0,0.0,0.0,203.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.23684616088867189
AAPL250620C00265000,2025-06-16 19:07:17+00:00,265.0,0.01,0.0,0.0,0.0,0.0,61.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.25124528992850825
AAPL250620C00270000,2025-06-16 17:42:00+00:00,270.0,0.01,0.0,0.0,0.0,0.0,40.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.2651111178927951
AAPL250620C00275000,2025-06-16 18:16:19+00:00,275.0,0.01,0.0,0.0,0.0,0.0,8.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.27847273393110794
AAPL250620C00280000,2025-06-16 19:11:53+00:00,280.0,0.01,0.0,0.0,0.0,0.0,446.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.2913571493966239
AAPL250620C00285000,2025-06-13 17:55:50+00:00,285.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.30378948010896384
AAPL250620C00290000,2025-06-16 15:06:13+00:00,290.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.31579310976225755
AAPL250620C00295000,2025-06-13 14:23:50+00:00,295.0,0.01,0.0,0.0,0.0,0.0,23.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.32738983671543964
AAPL250620C00300000,2025-06-09 16:26:23+00:00,300.0,0.01,0.0,0.0,0.0,0.0,151.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.33860000610351565
AAPL250620C00305000,2025-05-27 16:52:10+00:00,305.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.3494426289542777
AAPL250620C00310000,2025-06-12 16:15:24+00:00,310.0,0.01,0.0,0.0,0.0,0.0,10.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.35993548977759576
AAPL250620C00320000,2025-06-16 18:20:54+00:00,320.0,0.01,0.0,0.0,0.0,0.0,2.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.3799375057220459
AAPL250620C00330000,2025-06-05 17:48:54+00:00,330.0,0.01,0.0,0.0,0.0,0.0,6.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.3987272782759233
AAPL250620C00340000,2025-05-23 16:47:17+00:00,340.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.41641177009133734
AAPL250620C00350000,2025-06-09 15:32:45+00:00,350.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.43308571951729913
AAPL250620C00360000,2025-06-16 14:07:18+00:00,360.0,0.01,0.0,0.0,0.0,0.0,2.0,0.0,0.500005,False,REGULAR,USD,call,2025-06-20,0.0,-0.44883333841959633
AAPL250620P00005000,2025-06-16 14:11:42+00:00,5.0,0.01,0.0,0.0,0.0,0.0,3.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,38.683999633789064
AAPL250620P00010000,2025-06-16 13:30:02+00:00,10.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,18.841999816894532
AAPL250620P00015000,2025-04-25 13:30:02+00:00,15.0,0.01,0.0,0.01,0.0,0.0,48.0,61.0,7.500000625,False,REGULAR,USD,put,2025-06-20,0.01,12.227999877929687
AAPL250620P00020000,2025-06-04 13:30:16+00:00,20.0,0.01,0.0,0.0,0.0,0.0,3.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,8.920999908447266
AAPL250620P00025000,2025-04-29 17:44:20+00:00,25.0,0.01,0.0,0.01,0.0,0.0,20.0,102.0,6.0000025,False,REGULAR,USD,put,2025-06-20,0.01,6.936799926757812
AAPL250620P00030000,2025-04-10 18:10:27+00:00,30.0,0.03,0.0,0.01,0.0,0.0,50.0,114.0,5.500003124999999,False,REGULAR,USD,put,2025-06-20,0.01,5.613999938964843
AAPL250620P00035000,2025-06-03 15:12:26+00:00,35.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,4.6691428048270085
AAPL250620P00040000,2025-04-11 18:57:45+00:00,40.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,3.960499954223633
AAPL250620P00045000,2025-05-27 13:30:00+00:00,45.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,3.4093332926432294
AAPL250620P00050000,2025-06-16 13:30:01+00:00,50.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,2.968399963378906
AAPL250620P00055000,2025-05-02 13:46:54+00:00,55.0,0.01,0.0,0.21,0.0,0.0,125.0,1372.0,4.906253867187499,False,REGULAR,USD,put,2025-06-20,0.21,2.60763633034446
